epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.3191,1.29857,4.08529,1.43916,0.85886,0.82674,0.91452,0.7241,0.76409,0.67325,1.04259,3.57805e-05,3.57805e-05,3.57805e-05
2,57.5262,0.93012,1.29502,1.16219,0.90484,0.85523,0.94132,0.76646,0.683,0.51817,0.97631,7.10699e-05,7.10699e-05,7.10699e-05
3,85.6883,0.89601,0.98661,1.13644,0.92154,0.89143,0.95909,0.77656,0.69038,0.52614,0.97733,0.000105646,0.000105646,0.000105646
4,113.916,0.88027,0.85967,1.12413,0.93807,0.93931,0.97552,0.81236,0.63388,0.44632,0.95248,0.000104792,0.000104792,0.000104792
5,142.138,0.85274,0.7802,1.1104,0.95642,0.93486,0.97628,0.82635,0.6027,0.44311,0.94345,0.000103723,0.000103723,0.000103723
6,169.829,0.83258,0.73505,1.09837,0.92578,0.93762,0.97565,0.82713,0.60348,0.429,0.9275,0.000102654,0.000102654,0.000102654
7,197.518,0.79786,0.68219,1.08293,0.95503,0.94599,0.98152,0.84904,0.56028,0.39665,0.91387,0.000101585,0.000101585,0.000101585
8,225.317,0.76266,0.63758,1.06893,0.96748,0.97606,0.98613,0.85064,0.54756,0.3731,0.89758,0.000100516,0.000100516,0.000100516
9,253.303,0.75754,0.62009,1.06666,0.9569,0.97884,0.98852,0.85509,0.57403,0.38841,0.92581,9.94464e-05,9.94464e-05,9.94464e-05
10,281.107,0.74334,0.59502,1.05915,0.96202,0.96938,0.98914,0.87337,0.52462,0.36107,0.89918,9.83772e-05,9.83772e-05,9.83772e-05
